Provider,PotentialFraud,inp_claim_count,inp_total_reimb,inp_mean_reimb,inp_unique_bene,out_claim_count,out_total_reimb,out_mean_reimb,out_unique_bene,total_claims,total_reimb,total_unique_bene,claims_per_patient,inp_to_outp_ratio,avg_claim_cost,inp_2008_11,inp_2008_12,inp_2009_01,inp_2009_02,inp_2009_03,inp_2009_04,inp_2009_05,inp_2009_06,inp_2009_07,inp_2009_08,inp_2009_09,inp_2009_10,inp_2009_11,inp_2009_12,out_2008_12,out_2009_01,out_2009_02,out_2009_03,out_2009_04,out_2009_05,out_2009_06,out_2009_07,out_2009_08,out_2009_09,out_2009_10,out_2009_11,out_2009_12,top_states
PRV51001,No,5.0,97000.0,19400.0,5.0,20.0,7640.0,382.0,19.0,25.0,104640.0,24.0,1.0,0.23809523809523808,4024.6153846153848,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,1
PRV51003,Yes,62.0,573000.0,9241.935483870968,53.0,70.0,32670.0,466.7142857142857,66.0,132.0,605670.0,119.0,1.1,0.8732394366197183,4553.909774436091,0.0,1.0,6.0,9.0,4.0,6.0,4.0,5.0,6.0,5.0,5.0,5.0,5.0,1.0,0.0,7.0,7.0,6.0,4.0,4.0,9.0,5.0,8.0,4.0,6.0,6.0,4.0,"1, 10, 11"
PRV51004,No,0.0,0.0,0.0,0.0,149.0,52170.0,350.13422818791946,138.0,149.0,52170.0,138.0,1.0719424460431655,0.0,347.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,19.0,18.0,10.0,8.0,11.0,14.0,10.0,12.0,11.0,8.0,16.0,
PRV51005,Yes,0.0,0.0,0.0,0.0,1165.0,280910.0,241.1244635193133,495.0,1165.0,280910.0,495.0,2.348790322580645,0.0,240.91766723842196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,102.0,101.0,113.0,98.0,83.0,103.0,92.0,99.0,107.0,111.0,73.0,81.0,
PRV51007,No,3.0,19000.0,6333.333333333333,3.0,69.0,14710.0,213.18840579710144,56.0,72.0,33710.0,59.0,1.2,0.04285714285714286,461.7808219178082,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,8.0,4.0,8.0,9.0,3.0,5.0,7.0,2.0,6.0,6.0,1
PRV51008,No,2.0,25000.0,12500.0,2.0,41.0,10630.0,259.2682926829268,34.0,43.0,35630.0,36.0,1.162162162162162,0.047619047619047616,809.7727272727273,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,6.0,1.0,5.0,2.0,4.0,3.0,4.0,3.0,5.0,3.0,1
PRV51011,No,1.0,5000.0,5000.0,1.0,57.0,11630.0,204.03508771929825,52.0,58.0,16630.0,53.0,1.0740740740740742,0.017241379310344827,281.864406779661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,2.0,8.0,6.0,4.0,5.0,4.0,1.0,8.0,3.0,4.0,5.0,1
PRV51012,No,0.0,0.0,0.0,0.0,48.0,16890.0,351.875,31.0,48.0,16890.0,31.0,1.5,0.0,344.6938775510204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,4.0,8.0,12.0,1.0,5.0,2.0,1.0,3.0,3.0,
PRV51013,No,0.0,0.0,0.0,0.0,46.0,14880.0,323.4782608695652,44.0,46.0,14880.0,44.0,1.0222222222222221,0.0,316.59574468085106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,3.0,3.0,1.0,3.0,6.0,5.0,2.0,6.0,4.0,
PRV51014,No,0.0,0.0,0.0,0.0,30.0,10480.0,349.3333333333333,25.0,30.0,10480.0,25.0,1.1538461538461537,0.0,338.06451612903226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,4.0,0.0,3.0,4.0,2.0,3.0,0.0,2.0,2.0,2.0,
PRV51015,No,0.0,0.0,0.0,0.0,8.0,700.0,87.5,7.0,8.0,700.0,7.0,1.0,0.0,77.77777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,
PRV51016,No,0.0,0.0,0.0,0.0,6.0,170.0,28.333333333333332,6.0,6.0,170.0,6.0,0.8571428571428571,0.0,24.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,
PRV51017,No,0.0,0.0,0.0,0.0,515.0,142720.0,277.126213592233,420.0,515.0,142720.0,420.0,1.2232779097387174,0.0,276.5891472868217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,46.0,38.0,55.0,33.0,42.0,49.0,47.0,47.0,34.0,36.0,46.0,40.0,
PRV51021,Yes,29.0,269000.0,9275.862068965518,23.0,228.0,79830.0,350.13157894736844,187.0,257.0,348830.0,210.0,1.2180094786729858,0.12663755458515283,1352.0542635658915,0.0,1.0,7.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,24.0,15.0,21.0,20.0,18.0,25.0,20.0,17.0,17.0,19.0,10.0,21.0,1
PRV51023,No,9.0,54000.0,6000.0,9.0,27.0,11610.0,430.0,27.0,36.0,65610.0,36.0,0.972972972972973,0.32142857142857145,1773.2432432432433,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,1
PRV51024,No,9.0,61000.0,6777.777777777777,9.0,30.0,3050.0,101.66666666666667,29.0,39.0,64050.0,38.0,1.0,0.2903225806451613,1601.25,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,4.0,1.0,3.0,0.0,0.0,2.0,3.0,5.0,3.0,2.0,4.0,3.0,1
PRV51025,No,13.0,86000.0,6615.384615384615,12.0,74.0,32350.0,437.1621621621622,66.0,87.0,118350.0,78.0,1.1012658227848102,0.17333333333333334,1344.8863636363637,0.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,5.0,9.0,8.0,6.0,10.0,7.0,3.0,3.0,6.0,7.0,5.0,4.0,"1, 11"
PRV51026,No,0.0,0.0,0.0,0.0,76.0,19840.0,261.05263157894734,56.0,76.0,19840.0,56.0,1.3333333333333333,0.0,257.6623376623377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,9.0,7.0,1.0,9.0,9.0,11.0,8.0,2.0,7.0,5.0,
PRV51027,No,0.0,0.0,0.0,0.0,53.0,29840.0,563.0188679245283,44.0,53.0,29840.0,44.0,1.1777777777777778,0.0,552.5925925925926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,6.0,6.0,5.0,4.0,5.0,5.0,2.0,4.0,3.0,4.0,
